ID,工单编号,行业分类1级,行业分类2级,行业分类3级,行业分类4级,诉求内容,原处置单位,处置单位,单位类别
1,20180107184928,城管问题,突发事件,群发性事件,开发商合同纠纷,市民来电反映: 其于2017年10月12日已缴纳定金5万元，购买海航豪庭南苑二期的房屋，被开发商告知无法使用公积金贷款，其认为不合理，故来电反映。请市住建核实处理，谢谢！（请职能局按规定在30分钟内核实处理，响应处理）,市住房和城乡建设局,住房和城乡建设局,1
2,20180107184976,绿化市容,环境卫生,环境垃圾,生活垃圾,市民来电反映: 琼山区高登东街到朱云路口红绿灯处（雅迪欧派电动车前面路段）路面油腻，现市民表示其今天已经看到多辆电动车摔倒，故希望环卫工人尽快处理下路面。请琼山区政府核实处理!（请职能局按规定在30分钟内到达现场，响应处置）,海口市京环城市环境服务有限公司,京环城市环境服务有限公司,4
6,20180101116957,公安（治安、交通）,户籍管理,户口事项变更更正,变更出生日期,"市民公众号反映：美兰区办证中心把户口上归属居委会打错，导致去岭下村居委会开证明时被告知不是所属片区，后来得知仙桥路仙桥花园属于白沙居委会，今日去美兰区办证中心让工作人员做更改，他却说电脑上没有选项。这样的答复让人很不解！请市公安局核实处理，谢谢！（请职能局按规定在30分钟内核实处理，响应处置）
2017-12-31 市公安局：在受（办）理户口业务时，我中心民警都会依据《海口市公安局办理户口居民身份证工作规范〉等规范性文件进行相关解答。因缺少该市民的联系方式，我中心无法电话向其核实了解是哪个受理窗口，哪位民警接待他以及办户时的具体情况。（工单号：20171229094199）
市民再次来电反映：愿意提供联系方式，请市公安局核实处理。（请职能局按规定在30分钟内核实处理，响应处置）",市公安局,公安局,3
9,20180103137107,城管问题,市容环境,违章建筑,违建盖房,市民来电反映:新港海运路农贸市场对面交通执法局旁边原先的停车场，现有人准备动工在此处搭建房屋，其认为存在违建行为。请城管部门核实处理！（请职能局按规定在30分钟内联系市民，响应处置）,龙华区城管局,城市管理行政执法局,2
10,20180101117830,绿化市容,城市管理,无证夜间施工,超时施工,市民来电反映: 秀英区长滨五路晨晖帝景工地超时施工，噪音严重扰民，请城管部门核实处理！（请职能局按规定在30分钟内核实处理，响应处置）,秀英区城管局,城市管理行政执法局,2
13,20180103141219,燃气,燃气报修,燃气泄漏,燃气泄漏,市民来电反映: 琼山区勋亭路金鹿菜市场正对面存在煤气泄漏现象，请民生燃气核实处理！（请职能局在规定30分钟内联系市民，响应处置）,海南民生燃气股份有限公司,民生燃气股份有限公司,4
14,20180103141126,其他,其他,其他,其他,市民来电咨询: 美兰区政务中心地址。,美兰区政府服务中心,政府服务中心,2
15,20180103142191,住房保障,其他,其他,其他,"市住建局来电反馈: 工单号：20180103141721《关于万达俊仕豪庭验房的问题》工单结果
工单内容：
市民微信反映: 其是万达俊仕豪庭的8栋楼的业主，问题：1、消防安装太靠近门口，开关门不方便，存在一些安全隐患，希望万达整改成一二期那样嵌入式的，2、收房要给我们业主做淋水试验；3、是否有竣工备案证？请住建局核实处理。（请职能局按规定在30分钟内，响应处置）
",市住房和城乡建设局,住房和城乡建设局,1
17,20180101114245,“12345”热线,12345热线,信息咨询,信息咨询,市民来电咨询: 金宇派出所电话？,市公安局,公安局,3
18,20180102122752,工商(消保),商业服务,菜场经营,菜场经营,市民市民云建议：龙华区椰海大道碧海丹城小区今年入住人数多，买菜困难，建议在椰海大道碧海丹城设置菜篮子平价菜销售点，请菜篮子公司核实处理！谢谢！（请职能局按规定在30分钟内联系市民，响应处置）,海口市菜篮子产业集团有限责任公司,菜篮子产业集团有限责任公司,4
19,20180103145783,其他,其他,其他,其他,市民来电反映: 57路公交车迟迟不到站的问题 ,海口市公共交通集团有限公司,公共交通集团有限公司,4
